corridor,pk_cum,X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
a40,19.928,5.0753131,46.27121945,,POIN_REP0000002330655426,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,184,81152,81,D,PR valide,PR,01PR184DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,20.946,5.08741091,46.26752211,,POIN_REP0000002330655428,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,183,80152,80,D,PR valide,PR,01PR183DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,21.914,5.09976825,46.26589229,,POIN_REP0000002330655492,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,182,79152,79,D,PR valide,PR,01PR182DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,22.907,5.11259101,46.26691705,,POIN_REP0000002330655404,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,181,78152,78,D,PR valide,PR,01PR181DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,23.904,5.1255121,46.26751696,,POIN_REP0000002330655514,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,180,77152,77,D,PR valide,PR,01PR180DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,24.890,5.13812345,46.26596379,,POIN_REP0000002330655579,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,179,76152,76,D,PR valide,PR,01PR179DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,25.890,5.15058339,46.26341667,,POIN_REP0000002330655403,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,178,75152,75,D,PR valide,PR,01PR178DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,26.882,5.16324948,46.26174345,,POIN_REP0000002330655384,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,177,74152,74,D,PR valide,PR,01PR177DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,27.895,5.17640685,46.26176376,,POIN_REP0000002330655401,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,176,73152,73,D,PR valide,PR,01PR176DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,28.905,5.18928864,46.26353005,,POIN_REP0000002330655548,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,175,72152,72,D,PR valide,PR,01PR175DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,29.901,5.20213817,46.26453702,,POIN_REP0000002330655500,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,174,71152,71,D,PR valide,PR,01PR174DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,30.874,5.21450517,46.26268909,,POIN_REP0000002330655408,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,173,70152,70,D,PR valide,PR,01PR173DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
