corridor,route,pk,lat,lon,speed_kmh,source
a40,A40,35.86022,46.242866,5.269645,130,trace
a40,A40,35.91022,46.242522,5.270062,129,trace
a40,A40,35.96027,46.242178,5.270480,129,trace
a40,A40,36.01029,46.241834,5.270898,129,trace
a40,A40,36.06027,46.241491,5.271317,130,trace
a40,A40,36.11025,46.241148,5.271736,130,trace
a40,A40,36.16023,46.240805,5.272155,130,trace
a40,A40,36.21020,46.240462,5.272574,130,trace
a40,A40,36.26018,46.240120,5.272996,129,trace
a40,A40,36.31014,46.239783,5.273425,130,trace
a40,A40,36.36010,46.239447,5.273856,130,trace
a40,A40,36.41006,46.239111,5.274287,130,trace
a40,A40,36.46003,46.238772,5.274713,130,trace
a40,A40,36.51000,46.238433,5.275138,130,trace
a40,A40,36.55997,46.238092,5.275562,129,trace
a40,A40,36.60995,46.237751,5.275984,129,trace
a40,A40,36.65993,46.237408,5.276403,129,trace
a40,A40,36.70990,46.237064,5.276821,130,trace
a40,A40,36.75988,46.236719,5.277238,130,trace
a40,A40,36.80986,46.236374,5.277652,130,trace
a40,A40,36.85983,46.236026,5.278063,129,trace
a40,A40,36.90978,46.235673,5.278465,130,trace
a40,A40,36.96016,46.235319,5.278865,130,trace
a40,A40,37.01047,46.234964,5.279262,130,trace
a40,A40,37.06044,46.234608,5.279658,130,trace
a40,A40,37.11039,46.234253,5.280056,130,trace
a40,A40,37.16035,46.233898,5.280454,130,trace
a40,A40,37.21030,46.233544,5.280853,130,trace
a40,A40,37.26026,46.233188,5.281250,130,trace
a40,A40,37.31022,46.232832,5.281645,130,trace
a40,A40,37.36019,46.232474,5.282037,130,trace
a40,A40,37.41017,46.232115,5.282427,130,trace
a40,A40,37.46015,46.231753,5.282812,130,trace
a40,A40,37.51013,46.231389,5.283193,130,trace
a40,A40,37.56011,46.231023,5.283568,130,trace
a40,A40,37.61008,46.230653,5.283938,130,trace
a40,A40,37.66005,46.230283,5.284304,130,trace
a40,A40,37.71000,46.229910,5.284666,130,trace
a40,A40,37.75991,46.229532,5.285018,130,trace
a40,A40,37.80979,46.229153,5.285365,130,trace
a40,A40,37.85971,46.228770,5.285705,130,trace
a40,A40,37.91154,46.228386,5.286042,130,trace
a40,A40,37.96216,46.228001,5.286375,130,trace
a40,A40,38.01195,46.227614,5.286706,130,trace
a40,A40,38.06181,46.227225,5.287029,130,trace
a40,A40,38.11171,46.226832,5.287344,130,trace
a40,A40,38.16166,46.226437,5.287653,130,trace
a40,A40,38.21163,46.226039,5.287954,130,trace
a40,A40,38.26162,46.225640,5.288254,130,trace
a40,A40,38.31161,46.225241,5.288552,130,trace
a40,A40,38.36160,46.224842,5.288848,130,trace
a40,A40,38.41162,46.224438,5.289133,130,trace
a40,A40,38.46165,46.224033,5.289412,130,trace
a40,A40,38.51167,46.223625,5.289685,130,trace
a40,A40,38.56168,46.223214,5.289946,129,trace
a40,A40,38.61166,46.222799,5.290195,129,trace
a40,A40,38.66160,46.222382,5.290435,129,trace
a40,A40,38.71149,46.221962,5.290666,130,trace
a40,A40,38.76136,46.221542,5.290894,130,trace
a40,A40,38.81122,46.221121,5.291120,130,trace
a40,A40,38.86106,46.220699,5.291343,129,trace
a40,A40,38.91280,46.220275,5.291560,129,trace
a40,A40,38.96401,46.219851,5.291772,129,trace
a40,A40,39.01379,46.219425,5.291980,129,trace
a40,A40,39.06363,46.218998,5.292178,130,trace
a40,A40,39.11351,46.218569,5.292371,130,trace
a40,A40,39.16341,46.218139,5.292559,129,trace
a40,A40,39.21335,46.217707,5.292740,130,trace
a40,A40,39.26330,46.217275,5.292915,130,trace
a40,A40,39.31326,46.216842,5.293086,130,trace
a40,A40,39.36324,46.216407,5.293250,130,trace
a40,A40,39.41323,46.215972,5.293409,130,trace
a40,A40,39.46322,46.215536,5.293565,130,trace
a40,A40,39.51320,46.215099,5.293716,130,trace
a40,A40,39.56318,46.214660,5.293856,130,trace
a40,A40,39.61315,46.214221,5.293989,130,trace
a40,A40,39.66311,46.213780,5.294116,130,trace
a40,A40,39.71302,46.213338,5.294231,130,trace
a40,A40,39.76290,46.212895,5.294341,130,trace
